text,interview_id,theme,sentiment
"Or limit how many tasks I can see at once—like, force me to focus on three things instead of showing me all 50",interview_05,Prioritization Difficulty,neutral
Sometimes constraints are actually freeing,interview_05,Other,neutral
please make something that doesn't make people feel stupid or inadequate,interview_05,Productivity Guilt,neutral
That's the biggest thing,interview_05,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_05,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_05,Other,neutral
"I'm 25 years old, and I'm a engineering student / young professional",interview_06,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_06,Other,positive
"Oh yes, I've tried so many",interview_06,Tool Hopping Behavior,neutral
"Google Keep, Trello, Notion, Todoist",interview_06,Other,neutral
probably more that I'm forgetting,interview_06,Other,neutral
I'm always looking for the 'perfect' system,interview_06,Tool Hopping Behavior,positive
"I spend hours watching YouTube tutorials and setting things up, but somehow I never stick with any of them for more than a couple weeks",interview_06,Setup Fatigue,neutral
"Like, I spend so much time organizing and reorganizing that I barely get any actual work done",interview_06,Other,neutral
"And then I see all these unfinished tasks piling up, and it feels overwhelming",interview_06,Feature Overwhelm,negative
So I think 'maybe this tool isn't right for me' and I try another one,interview_06,Tool Hopping Behavior,neutral
"So I download the app, create an account, and then",interview_06,Other,neutral
"It's like, 'okay, now what",interview_06,Other,neutral
' I usually end up watching a 30-minute YouTube tutorial just to understand the basics,interview_06,Setup Fatigue,neutral
Then I spend another hour or two trying to recreate what I saw in the video,interview_06,Other,neutral
"By the time I'm done setting it up, I'm mentally exhausted and I haven't actually DONE anything productive yet",interview_06,Other,negative
I'm never sure if I set it up 'correctly,interview_06,Other,neutral
"' Like, am I using the right template",interview_06,Setup Fatigue,neutral
Should I use tags or folders,interview_06,Social Comparison Anxiety,neutral
Should I create separate workspaces for work and personal,interview_06,Context Switching,neutral
"There's no right answer, so I keep second-guessing myself",interview_06,Other,neutral
I think I need something that just,interview_06,Other,neutral
"Show me three things to do today, that's it",interview_06,Other,neutral
Don't give me a hundred options until I ask for them,interview_06,Feature Overwhelm,neutral
And maybe guide me through setup instead of throwing me into an empty workspace,interview_06,Setup Fatigue,neutral
"Like, 'here's your first task, let's add it together",interview_06,Other,neutral
' Make it feel less like I'm building a system and more like I'm just getting started,interview_06,Setup Fatigue,neutral
"Start with the absolute basics—just tasks—and then as I use it, maybe introduce ONE new feature at a time",interview_06,Other,neutral
"'Hey, looks like you're using this a lot, would tags help you",interview_06,Other,positive
"The tool should feel like a partner, not a judge",interview_06,Productivity Guilt,negative
"Maybe hide completed tasks by default so I see what I've accomplished, not what I haven't",interview_06,Other,positive
"Or limit how many tasks I can see at once—like, force me to focus on three things instead of showing me all 50",interview_06,Prioritization Difficulty,neutral
Sometimes constraints are actually freeing,interview_06,Other,neutral
please make something that doesn't make people feel stupid or inadequate,interview_06,Productivity Guilt,neutral
That's the biggest thing,interview_06,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_06,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_06,Other,neutral
"I'm 22 years old, and I'm a engineering student / young professional",interview_07,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_07,Other,positive
"Oh yes, I've tried so many",interview_07,Tool Hopping Behavior,neutral
"Google Keep, Trello, Todoist, Microsoft To Do",interview_07,Other,neutral
probably more that I'm forgetting,interview_07,Other,neutral
I'm always looking for the 'perfect' system,interview_07,Tool Hopping Behavior,positive
"I spend hours watching YouTube tutorials and setting things up, but somehow I never stick with any of them for more than a couple weeks",interview_07,Setup Fatigue,neutral
"Like, I spend so much time organizing and reorganizing that I barely get any actual work done",interview_07,Other,neutral
"And then I see all these unfinished tasks piling up, and it feels overwhelming",interview_07,Feature Overwhelm,negative
So I think 'maybe this tool isn't right for me' and I try another one,interview_07,Tool Hopping Behavior,neutral
"So I download the app, create an account, and then",interview_07,Other,neutral
"It's like, 'okay, now what",interview_07,Other,neutral
' I usually end up watching a 30-minute YouTube tutorial just to understand the basics,interview_07,Setup Fatigue,neutral
Then I spend another hour or two trying to recreate what I saw in the video,interview_07,Other,neutral
"By the time I'm done setting it up, I'm mentally exhausted and I haven't actually DONE anything productive yet",interview_07,Other,negative
I'm never sure if I set it up 'correctly,interview_07,Other,neutral
"' Like, am I using the right template",interview_07,Setup Fatigue,neutral
Should I use tags or folders,interview_07,Social Comparison Anxiety,neutral
Should I create separate workspaces for work and personal,interview_07,Context Switching,neutral
"There's no right answer, so I keep second-guessing myself",interview_07,Other,neutral
"Well, then I start using it, and I realize there are all these features I didn't even know existed",interview_07,Feature Overwhelm,neutral
"Pop-ups telling me about databases, templates, integrations, AI features",interview_07,Feature Overwhelm,neutral
"I feel like I should be using all these advanced features to be 'productive,' but I don't even understand what half of them do",interview_07,Feature Overwhelm,neutral
ignore them and stick to basic task lists,interview_07,Other,neutral
Maybe 5-10% of what the tool can do,interview_07,Other,neutral
Which makes me wonder why I'm even using this complex tool when I could just use a simpler one,interview_07,Feature Overwhelm,neutral
"But everyone says these advanced tools are 'better,' so I feel like I should figure them out",interview_07,Social Comparison Anxiety,positive
"I see people on YouTube with these beautiful, organized Notion workspaces tracking every aspect of their lives, and I can't even keep up with a basic task list for more than a week",interview_07,Social Comparison Anxiety,neutral
I start thinking 'what's wrong with me,interview_07,Other,neutral
' It's not just about the tool anymore—it's about feeling like I'm not disciplined enough or organized enough or smart enough to use it properly,interview_07,Other,neutral
Every time I open it and see that list of incomplete tasks—with all the red overdue badges—it's like a visual representation of my failures,interview_07,Productivity Guilt,negative
"And the more tasks pile up, the more paralyzed I feel",interview_07,Other,neutral
"I don't know where to start, so I just",interview_07,Prioritization Difficulty,neutral
And then the guilt gets worse,interview_07,Productivity Guilt,negative
I think I need something that just,interview_07,Other,neutral
"Show me three things to do today, that's it",interview_07,Other,neutral
Don't give me a hundred options until I ask for them,interview_07,Feature Overwhelm,neutral
And maybe guide me through setup instead of throwing me into an empty workspace,interview_07,Setup Fatigue,neutral
"Like, 'here's your first task, let's add it together",interview_07,Other,neutral
' Make it feel less like I'm building a system and more like I'm just getting started,interview_07,Setup Fatigue,neutral
"Start with the absolute basics—just tasks—and then as I use it, maybe introduce ONE new feature at a time",interview_07,Other,neutral
"'Hey, looks like you're using this a lot, would tags help you",interview_07,Other,positive
"The tool should feel like a partner, not a judge",interview_07,Productivity Guilt,negative
"Maybe hide completed tasks by default so I see what I've accomplished, not what I haven't",interview_07,Other,positive
"Or limit how many tasks I can see at once—like, force me to focus on three things instead of showing me all 50",interview_07,Prioritization Difficulty,neutral
Sometimes constraints are actually freeing,interview_07,Other,neutral
please make something that doesn't make people feel stupid or inadequate,interview_07,Productivity Guilt,neutral
That's the biggest thing,interview_07,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_07,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_07,Other,neutral
"I'm 28 years old, and I'm a creative professional / graduate student",interview_08,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_08,Other,positive
"I've tried ClickUp, Evernote, but honestly",interview_08,Tool Hopping Behavior,neutral
I always go back to pen and paper,interview_08,Other,neutral
There's something about writing things down by hand that just works better for my brain,interview_08,Other,positive
Digital tools feel so,interview_08,Other,neutral
"I tried using Notion for a few weeks because everyone at work uses it, but I found myself constantly switching between the app and my notebook",interview_08,Tool Hopping Behavior,neutral
Eventually I just gave up on the digital stuff,interview_08,Tool Hopping Behavior,neutral
"The digital tools just don't have that flexibility, you know",interview_08,Other,neutral
"With a notebook, I can doodle, draw arrows, cross things out violently when I'm frustrated—it's more human",interview_08,Other,negative
"Plus, I don't have to worry about which template to use or how to structure everything",interview_08,Lack of Flexibility,neutral
It's liberating compared to all those menus and buttons and settings,interview_08,Feature Overwhelm,positive
"So I download the app, create an account, and then",interview_08,Other,neutral
"It's like, 'okay, now what",interview_08,Other,neutral
' I usually end up watching a 30-minute YouTube tutorial just to understand the basics,interview_08,Setup Fatigue,neutral
Then I spend another hour or two trying to recreate what I saw in the video,interview_08,Other,neutral
"By the time I'm done setting it up, I'm mentally exhausted and I haven't actually DONE anything productive yet",interview_08,Other,negative
I'm never sure if I set it up 'correctly,interview_08,Other,neutral
"' Like, am I using the right template",interview_08,Setup Fatigue,neutral
Should I use tags or folders,interview_08,Social Comparison Anxiety,neutral
Should I create separate workspaces for work and personal,interview_08,Context Switching,neutral
"There's no right answer, so I keep second-guessing myself",interview_08,Other,neutral
"Well, then I start using it, and I realize there are all these features I didn't even know existed",interview_08,Feature Overwhelm,neutral
"Pop-ups telling me about databases, templates, integrations, AI features",interview_08,Feature Overwhelm,neutral
"I feel like I should be using all these advanced features to be 'productive,' but I don't even understand what half of them do",interview_08,Feature Overwhelm,neutral
ignore them and stick to basic task lists,interview_08,Other,neutral
Maybe 5-10% of what the tool can do,interview_08,Other,neutral
Which makes me wonder why I'm even using this complex tool when I could just use a simpler one,interview_08,Feature Overwhelm,neutral
"But everyone says these advanced tools are 'better,' so I feel like I should figure them out",interview_08,Social Comparison Anxiety,positive
"I see people on YouTube with these beautiful, organized Notion workspaces tracking every aspect of their lives, and I can't even keep up with a basic task list for more than a week",interview_08,Social Comparison Anxiety,neutral
I start thinking 'what's wrong with me,interview_08,Other,neutral
' It's not just about the tool anymore—it's about feeling like I'm not disciplined enough or organized enough or smart enough to use it properly,interview_08,Other,neutral
Every time I open it and see that list of incomplete tasks—with all the red overdue badges—it's like a visual representation of my failures,interview_08,Productivity Guilt,negative
"And the more tasks pile up, the more paralyzed I feel",interview_08,Other,neutral
"I don't know where to start, so I just",interview_08,Prioritization Difficulty,neutral
And then the guilt gets worse,interview_08,Productivity Guilt,negative
"Honestly, I might never fully switch from paper",interview_08,Context Switching,neutral
"But if a digital tool could give me the flexibility of paper—like, not force me into rigid structures—I might use it alongside my notebook",interview_08,Lack of Flexibility,neutral
Maybe for things that need reminders or sharing with others,interview_08,Other,neutral
Less 'you must use our system' and more 'use it however makes sense to you,interview_08,Lack of Flexibility,neutral
' Don't make me choose between 10 template types,interview_08,Setup Fatigue,neutral
Just give me a blank space and let me write,interview_08,Other,neutral
"If I want to add structure later, I can",interview_08,Lack of Flexibility,neutral
"Only if it could replicate the feeling of paper—the freedom, the tactile satisfaction, the lack of options paralysis",interview_08,Feature Overwhelm,neutral
"Right now, digital tools try to do everything, which means they do nothing particularly well",interview_08,Other,neutral
I'd rather have a tool that does one thing perfectly than tries to be everything to everyone,interview_08,Social Comparison Anxiety,positive
please make something that doesn't make people feel stupid or inadequate,interview_08,Productivity Guilt,neutral
That's the biggest thing,interview_08,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_08,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_08,Other,neutral
"I'm 18 years old, and I'm a college student",interview_09,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_09,Other,positive
"Yeah, I've tried Asana, Todoist, Trello",interview_09,Tool Hopping Behavior,neutral
"I get really excited at first—like, THIS is going to be the thing that changes everything",interview_09,Other,positive
"I spend the first few days adding all my tasks, color-coding things, setting up reminders",interview_09,Setup Fatigue,neutral
"I don't know, life gets busy, I miss a few days, and when I come back there's this huge list of overdue tasks with red notifications everywhere",interview_09,Productivity Guilt,neutral
"It makes me feel terrible, so I just stop opening the app",interview_09,Productivity Guilt,negative
It's like the app is judging me,interview_09,Productivity Guilt,negative
"I know that sounds silly, but seeing all those incomplete tasks just reminds me that I'm failing",interview_09,Productivity Guilt,negative
And then I feel guilty about abandoning THAT too,interview_09,Productivity Guilt,negative
"Well, then I start using it, and I realize there are all these features I didn't even know existed",interview_09,Feature Overwhelm,neutral
"Pop-ups telling me about databases, templates, integrations, AI features",interview_09,Feature Overwhelm,neutral
"I feel like I should be using all these advanced features to be 'productive,' but I don't even understand what half of them do",interview_09,Feature Overwhelm,neutral
ignore them and stick to basic task lists,interview_09,Other,neutral
Maybe 5-10% of what the tool can do,interview_09,Other,neutral
Which makes me wonder why I'm even using this complex tool when I could just use a simpler one,interview_09,Feature Overwhelm,neutral
"But everyone says these advanced tools are 'better,' so I feel like I should figure them out",interview_09,Social Comparison Anxiety,positive
"I see people on YouTube with these beautiful, organized Notion workspaces tracking every aspect of their lives, and I can't even keep up with a basic task list for more than a week",interview_09,Social Comparison Anxiety,neutral
I start thinking 'what's wrong with me,interview_09,Other,neutral
' It's not just about the tool anymore—it's about feeling like I'm not disciplined enough or organized enough or smart enough to use it properly,interview_09,Other,neutral
Every time I open it and see that list of incomplete tasks—with all the red overdue badges—it's like a visual representation of my failures,interview_09,Productivity Guilt,negative
"And the more tasks pile up, the more paralyzed I feel",interview_09,Other,neutral
"I don't know where to start, so I just",interview_09,Prioritization Difficulty,neutral
And then the guilt gets worse,interview_09,Productivity Guilt,negative
